DZN_CODE_2021,SA2_CODE_2021,SA2_NAME_2021,STATE_CODE_2021,STATE_NAME_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022r,2023p
194999499,199999499,No usual address (NSW),1,New South Wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111728922,109011172,Albury - East,1,New South Wales,5901.0,5840.0,5824.0,5847.0,5786.0,5827.0,5870.0,5907.0,5951.0,5850.0,5849.0,5860.0,6048.0
111768918,109011176,Lavington,1,New South Wales,6315.0,6281.0,6294.0,6274.0,6300.0,6372.0,6364.0,6359.0,6359.0,6326.0,6280.0,6272.0,6340.0
111738912,109011173,Albury - North,1,New South Wales,3447.0,3494.0,3597.0,3688.0,3797.0,3912.0,4007.0,4121.0,4202.0,4300.0,4365.0,4364.0,4393.0
111748909,109011174,Albury - South,1,New South Wales,4588.0,4574.0,4539.0,4489.0,4465.0,4429.0,4443.0,4425.0,4427.0,4412.0,4420.0,4398.0,4358.0
111738913,109011173,Albury - North,1,New South Wales,6174.0,6150.0,6120.0,6108.0,6103.0,6092.0,6179.0,6209.0,6235.0,6214.0,6164.0,6141.0,6142.0
111758904,109011175,Albury Surrounds,1,New South Wales,1290.0,1314.0,1349.0,1377.0,1403.0,1435.0,1495.0,1510.0,1520.0,1546.0,1544.0,1600.0,1618.0
111748908,109011174,Albury - South,1,New South Wales,4925.0,4920.0,4919.0,4881.0,4818.0,4824.0,4817.0,4823.0,4785.0,4800.0,4702.0,4673.0,4650.0
111728921,109011172,Albury - East,1,New South Wales,6924.0,7184.0,7493.0,7872.0,8151.0,8463.0,8584.0,8834.0,9037.0,9161.0,9401.0,9670.0,9986.0
111768916,109011176,Lavington,1,New South Wales,3323.0,3348.0,3388.0,3452.0,3520.0,3569.0,3799.0,3925.0,4031.0,4170.0,4333.0,4358.0,4317.0
111768917,109011176,Lavington,1,New South Wales,4739.0,4740.0,4718.0,4764.0,4794.0,4784.0,4821.0,4903.0,4966.0,5039.0,5027.0,4984.0,4975.0
111748910,109011174,Albury - South,1,New South Wales,1420.0,1402.0,1436.0,1454.0,1444.0,1433.0,1402.0,1379.0,1379.0,1353.0,1371.0,1374.0,1368.0
111728923,109011172,Albury - East,1,New South Wales,414.0,538.0,661.0,784.0,905.0,1031.0,1275.0,1527.0,1765.0,2295.0,2611.0,2950.0,3242.0
111758903,109011175,Albury Surrounds,1,New South Wales,2076.0,2161.0,2185.0,2265.0,2363.0,2467.0,2555.0,2635.0,2715.0,2808.0,2935.0,2978.0,3029.0
111868674,110011186,Armidale,1,New South Wales,4405.535714285715,4403.535714285715,4369.607142857143,4341.392857142857,4363.571428571428,4344.321428571428,4406.214285714285,4476.821428571428,4546.035714285715,4480.428571428572,4498.0,4574.178571428572,4600.142857142857
111868675,110011186,Armidale,1,New South Wales,4097.464285714285,4134.464285714285,4167.392857142857,4175.607142857143,4188.428571428572,4202.678571428572,4195.785714285715,4192.178571428572,4216.964285714285,4179.571428571428,4102.0,4030.8214285714284,4093.8571428571427
111868672,110011186,Armidale,1,New South Wales,8565.0,8644.0,8705.0,8793.0,8831.0,8866.0,8894.0,8959.0,8939.0,8956.0,8792.0,8827.0,8854.0
111868673,110011186,Armidale,1,New South Wales,3406.0,3389.0,3407.0,3395.0,3354.0,3373.0,3394.0,3353.0,3307.0,3226.0,3160.0,3109.0,3115.0
111868671,110011186,Armidale,1,New South Wales,2997.0,3060.0,3107.0,3151.0,3242.0,3328.0,3408.0,3455.0,3500.0,3567.0,3618.0,3639.0,3710.0
111878678,110011187,Armidale Surrounds - North,1,New South Wales,1327.0,1353.0,1352.0,1374.0,1401.0,1425.0,1406.0,1383.0,1350.0,1307.0,1287.0,1312.0,1347.0
111878680,110011187,Armidale Surrounds - North,1,New South Wales,848.0,855.0,846.0,854.0,860.0,868.0,872.0,874.0,865.0,853.0,857.0,879.0,899.0
111878679,110011187,Armidale Surrounds - North,1,New South Wales,239.0,244.0,245.0,250.0,254.0,260.0,271.0,282.0,292.0,302.0,311.0,311.0,312.0
111880002,110011188,Armidale Surrounds - South,1,New South Wales,1405.0,1405.0,1369.0,1358.0,1377.0,1369.0,1355.0,1324.0,1313.0,1297.0,1266.0,1258.0,1262.0
111568300,108021156,Kempsey Surrounds,1,New South Wales,1640.0,1630.0,1602.0,1606.0,1595.0,1578.0,1585.0,1614.0,1620.0,1645.0,1670.0,1683.0,1710.0
113932482,120031393,Croydon Park - Enfield,1,New South Wales,1848.0,1874.0,1891.0,1903.0,1925.0,1925.0,1883.0,1896.0,1865.0,1805.0,1732.0,1787.0,1834.0
116790003,120031679,Croydon,1,New South Wales,1709.0,1732.0,1706.0,1685.0,1674.0,1655.0,1648.0,1684.0,1681.0,1676.0,1602.0,1574.0,1643.0
116770004,120031677,Ashfield - South,1,New South Wales,3155.0,3163.0,3191.0,3180.0,3149.0,3201.0,3193.0,3145.0,3115.0,3053.0,2912.0,2879.0,2951.0
116770001,120031677,Ashfield - South,1,New South Wales,2736.0,2821.0,2923.0,3009.0,3053.0,3147.0,3336.0,3489.0,3665.0,3829.0,3946.0,3967.0,4104.0
116790005,120031679,Croydon,1,New South Wales,1318.3736730360934,1340.56050955414,1369.1507430997876,1390.632696390658,1388.5180467091295,1389.0,1375.3312101910828,1352.6263269639066,1380.4458598726114,1343.072186836518,1274.072186836518,1263.4458598726114,1286.1146496815286
116790008,120031679,Croydon,1,New South Wales,1551.6263269639066,1540.43949044586,1557.8492569002124,1548.367303609342,1546.4819532908705,1552.0,1529.6687898089172,1524.3736730360934,1529.5541401273886,1547.927813163482,1471.927813163482,1454.5541401273886,1501.8853503184712
116760001,120031676,Ashfield - North,1,New South Wales,4103.0,4153.0,4221.0,4248.0,4373.0,4433.0,4448.0,4288.0,4188.0,4028.0,3810.0,3732.0,3923.0
116760003,120031676,Ashfield - North,1,New South Wales,3375.0,3376.0,3370.0,3374.0,3379.0,3425.0,3451.0,3369.0,3269.0,3123.0,2961.0,2902.0,3055.0
116770003,120031677,Ashfield - South,1,New South Wales,3402.388127853881,3419.6255707762557,3446.269406392694,3458.557077625571,3453.8447488584475,3513.963470319635,3538.607305936073,3579.72602739726,3529.557077625571,3524.1506849315065,3391.0502283105025,3373.643835616438,3478.0319634703196
116770002,120031677,Ashfield - South,1,New South Wales,2089.6118721461185,2092.3744292237443,2108.7305936073058,2082.442922374429,2074.1552511415525,2069.036529680365,2052.3926940639267,2057.27397260274,2068.442922374429,2082.849315068493,2033.9497716894975,1996.3561643835617,2036.9680365296804
116760002,120031676,Ashfield - North,1,New South Wales,5218.0,5319.0,5464.0,5597.0,5722.0,5807.0,5774.0,5552.0,5343.0,5090.0,4751.0,4816.0,5107.0
113952521,120031395,Haberfield - Summer Hill,1,New South Wales,2665.0,2598.0,2543.0,2523.0,2481.0,2407.0,2375.0,2362.0,2356.0,2335.0,2274.0,2277.0,2342.0
113952516,120031395,Haberfield - Summer Hill,1,New South Wales,2530.718592964824,2538.613065326633,2574.929648241206,2599.879396984925,2609.0653266331656,2617.7236180904524,2532.643216080402,2491.035175879397,2416.3216080402008,2336.819095477387,2200.105527638191,2174.236180904523,2234.3417085427136
113952517,120031395,Haberfield - Summer Hill,1,New South Wales,1443.086956521739,1466.3167701863354,1469.254658385093,1489.583850931677,1480.4844720496894,1478.1180124223604,1558.142857142857,1665.8757763975154,1765.4844720496894,1860.2298136645963,1888.3416149068323,1884.27950310559,1918.5714285714284
113952520,120031395,Haberfield - Summer Hill,1,New South Wales,2739.0,2736.0,2742.0,2717.0,2683.0,2682.0,2698.0,2701.0,2711.0,2681.0,2609.0,2610.0,2738.0
113952522,120031395,Haberfield - Summer Hill,1,New South Wales,1607.0,1615.0,1591.0,1597.0,1629.0,1648.0,1650.0,1637.0,1619.0,1640.0,1613.0,1568.0,1601.0
113952519,120031395,Haberfield - Summer Hill,1,New South Wales,2466.0,2483.0,2537.0,2569.0,2590.0,2627.0,2643.0,2607.0,2579.0,2543.0,2474.0,2504.0,2537.0
113952518,120031395,Haberfield - Summer Hill,1,New South Wales,515.1944505134368,531.0701644870314,543.8156933737008,552.5367520833984,574.4502013171448,581.1583694871875,572.2139267767409,552.0890477230874,551.1939199101096,529.9510908580168,501.5528574549768,508.4843159898873,516.0868628858578
110798230,103041079,Orange Surrounds,1,New South Wales,1015.0,1022.0,1003.0,1017.0,1051.0,1067.0,1046.0,1036.0,1017.0,1001.0,976.0,984.0,996.0
117090002,125011709,Silverwater - Newington,1,New South Wales,2889.2000000000003,2864.6,2985.6000000000004,3008.8,3052.0,3238.0,3275.6,3345.2,3337.2000000000003,3286.0,3063.6,2929.8,2897.6
115860006,125011586,Lidcombe,1,New South Wales,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,6.0,6.0,6.0
115860001,125011586,Lidcombe,1,New South Wales,2648.0,2714.0,2774.0,2820.0,2903.0,2961.0,2905.0,2896.0,2899.0,2833.0,2801.0,2796.0,2921.0
115860002,125011586,Lidcombe,1,New South Wales,3266.0,3372.0,3515.0,3643.0,3800.0,3972.0,4061.0,4104.0,4145.0,4206.0,4247.0,4286.0,4456.0
115830001,125011583,Auburn - North,1,New South Wales,3327.7096774193546,3406.12158808933,3488.935483870968,3661.347394540943,3797.516129032258,3922.0868486352356,4085.367245657568,4228.320099255583,4363.114143920596,4356.861042183623,4184.280397022332,4153.12158808933,4495.97270471464
117100006,125011710,Wentworth Point - Sydney Olympic Park,1,New South Wales,26.0,375.0,743.0,1088.0,1414.0,1809.0,2056.0,2480.0,3049.0,3462.0,3907.0,4080.0,4127.0
117090001,125011709,Silverwater - Newington,1,New South Wales,3334.8,3292.4,3418.4,3452.2,3472.0,3624.0,3649.4,3736.8,3631.8,3649.0,3389.4,3309.2,3257.4
115830005,125011583,Auburn - North,1,New South Wales,52.48905109489051,54.13138686131387,54.91240875912409,55.021897810218974,57.66423357664234,58.21167883211679,55.91240875912409,51.42335766423358,50.1094890510949,44.30656934306569,36.53284671532847,35.65693430656934,39.81751824817518
117090003,125011709,Silverwater - Newington,1,New South Wales,1252.0,1299.0,1392.0,1438.0,1522.0,1658.0,1700.0,1657.0,1648.0,1601.0,1541.0,1528.0,1553.0
