LGA_CODE_2022,LGA_NAME_2022,STATE_CODE_2021,STATE_NAME_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022r,2023p
10050,Albury,1,New South Wales,49460.0,49785.0,50338.0,50990.0,51486.0,52171.0,53056.0,53922.0,54657.0,55466.0,56067.0,56644.0,57437.0
10180,Armidale,1,New South Wales,28573.75879767316,28775.91063304675,28921.620375155195,29040.88685105276,29186.03882779578,29333.243513128837,29517.697235433378,29631.08445651081,29698.859269068078,29600.37471327631,29330.84480928773,29358.760631166082,29593.92011178222
10250,Ballina,1,New South Wales,40762.69337016575,41109.35359116022,41501.24861878453,41871.85635359116,42326.660220994476,42984.58839779005,43649.44475138121,44382.32044198895,44994.0,45660.41160220995,46193.196132596684,46850.14364640884,47286.87569060773
10300,Balranald,1,New South Wales,2418.8376288659792,2397.0953608247423,2413.396907216495,2408.811855670103,2395.069587628866,2362.1701030927834,2334.4845360824743,2304.270618556701,2282.5850515463917,2252.8994845360826,2204.842783505155,2180.943298969072,2167.6288659793813
10470,Bathurst,1,New South Wales,39953.72298730591,40290.15490097252,40716.97948831636,41147.45788229617,41683.675199988334,42233.719969128775,42589.73632749027,42888.12347354298,43212.14835564445,43451.6952443793,43681.269025559384,44119.83408205056,44609.70426929428
10500,Bayside (NSW),1,New South Wales,144985.0,148028.0,151309.0,154980.0,159222.0,164534.0,168779.0,171377.0,173913.0,176184.0,176229.0,177987.0,182947.0
10550,Bega Valley,1,New South Wales,33093.61596325184,33275.514751672476,33417.40484631748,33549.088910811726,33698.46878564602,33926.46573357585,34284.41511237167,34670.57924592287,35023.10019422265,35426.072078182326,35767.80469833832,35980.10888799827,36249.499491321636
10600,Bellingen,1,New South Wales,12924.0,12911.0,12923.0,12932.0,12939.0,12954.0,12976.0,13006.0,13046.0,13152.0,13203.0,13242.0,13231.0
10650,Berrigan,1,New South Wales,8299.0,8365.0,8436.0,8519.0,8568.0,8609.0,8638.0,8645.0,8649.0,8653.0,8615.0,8661.0,8652.0
10750,Blacktown,1,New South Wales,312352.0,317737.0,324799.0,331831.0,339450.0,348031.0,359591.0,369384.0,380186.0,391911.0,399925.0,410876.0,426148.0
10800,Bland,1,New South Wales,6031.295597484277,6031.943396226415,6026.062893081761,6031.798742138365,6024.622641509434,6022.182389937107,5935.622641509434,5848.974842767296,5755.327044025157,5649.767295597484,5544.03144654088,5487.855345911949,5460.943396226415
10850,Blayney,1,New South Wales,7216.275862068966,7261.972130373169,7291.12234293812,7311.052905054322,7310.432687765706,7330.950401511573,7372.2673594709495,7403.584789796882,7447.6410014171,7480.959376476146,7508.234293811998,7587.517241379311,7638.684459140293
10900,Blue Mountains,1,New South Wales,78509.17509727627,78509.48249027238,78683.01945525291,78844.64980544747,78867.28015564202,78813.26459143969,78989.95719844358,79107.24902723735,79077.81712062257,79032.72373540857,78372.66147859923,77945.38521400778,78487.12451361868
10950,Bogan,1,New South Wales,3005.6258350447692,2955.6319333346214,2900.3938637425267,2869.3422876004715,2821.441216723613,2740.4006817032855,2706.248124952991,2647.9446536775486,2601.6988568340134,2513.393775045885,2478.985613295523,2456.0077088025387,2416.181524091045
11150,Bourke,1,New South Wales,3053.0,3004.0,2909.0,2876.0,2807.0,2768.0,2695.0,2600.0,2534.0,2483.0,2416.0,2349.0,2364.0
11200,Brewarrina,1,New South Wales,1879.8834355828221,1840.153374233129,1848.6319018404909,1804.006134969325,1780.276073619632,1727.6503067484662,1683.8159509202453,1637.0858895705521,1591.2515337423313,1525.3128834355828,1487.5828220858896,1447.478527607362,1430.3742331288345
11250,Broken Hill,1,New South Wales,19151.0,18985.0,18802.0,18627.0,18360.0,18114.0,17994.0,17914.0,17801.0,17718.0,17662.0,17567.0,17624.0
11300,Burwood,1,New South Wales,34176.0,35095.0,36145.0,37223.0,37822.0,38536.0,39275.0,39773.0,40333.0,40670.0,40440.0,40845.0,42501.0
11350,Byron,1,New South Wales,30703.56880733945,31204.65137614679,31749.83486238532,32256.91743119266,32796.81651376147,33392.71559633027,33945.53211009174,34512.89908256881,35055.08256880734,35716.0,36107.0,36509.71559633027,37117.16513761468
11400,Cabonne,1,New South Wales,13217.098941294074,13333.83171573973,13484.581876287411,13517.86842814734,13522.761277717194,13590.08884950927,13681.414408396946,13727.184301163214,13771.753915242942,13812.90552526354,13767.212051678178,13794.698156730887,13860.692410335636
11450,Camden,1,New South Wales,58440.965217391305,61123.52173913043,64088.078260869566,68636.22608695652,74104.78260869565,80273.74782608695,88303.60869565218,96029.4695652174,104711.9652173913,112456.64347826087,120088.13913043478,127861.95652173914,134993.54782608696
11500,Campbelltown (NSW),1,New South Wales,151196.0347826087,152455.47826086957,154352.92173913043,156297.77391304346,158584.21739130435,161556.25217391303,165136.39130434784,168818.53043478262,172280.0347826087,175719.35652173913,177772.86086956522,180367.04347826086,184757.45217391304
11520,Canada Bay,1,New South Wales,80065.0,82636.0,85568.0,88565.0,90467.0,92534.0,92872.0,92765.0,92609.0,91833.0,89685.0,89232.0,91388.0
11570,Canterbury-Bankstown,1,New South Wales,335880.27822019067,340402.09958932974,345706.8316680356,350936.6633146449,356344.0513302146,361878.8009534693,367538.2899225083,371894.6456986751,375336.5827554191,376642.31043816736,372462.7847837732,372187.9429489698,379921.4173338571
11600,Carrathool,1,New South Wales,2636.102630644184,2658.849516287428,2788.2733195428236,2792.1950563112478,2759.6172256002005,2786.5606886896926,2827.2632942602227,2866.4253787166467,2864.6959903048537,2893.3985958753838,2875.385829206628,2879.6020184291356,2876.885396686099
11650,Central Coast (NSW),1,New South Wales,322656.6666666667,325162.77777777775,327744.77777777775,330376.8888888889,333263.8888888889,336611.0,340140.0,343074.0,345695.0,347734.0,348493.0,349158.0,351934.0
11700,Central Darling,1,New South Wales,2059.0,2015.0,1979.0,1934.0,1923.0,1881.0,1845.0,1809.0,1799.0,1774.0,1758.0,1749.0,1758.0
11720,Cessnock,1,New South Wales,52499.31533531918,53330.67247764263,54316.40447360678,55116.724388768496,55901.585250651944,56732.20172692821,57915.97862801844,59645.842477670776,60819.972108975795,62425.24778121932,64114.598287497865,65824.35895635597,67474.64614669095
11730,Clarence Valley,1,New South Wales,51288.0,51350.0,51443.0,51498.0,51547.0,51622.0,51953.0,52301.0,52604.0,52893.0,54212.0,54680.0,55334.0
11750,Cobar,1,New South Wales,4778.90675990676,4756.83682983683,4737.83682983683,4724.72027972028,4700.580419580419,4684.48717948718,4607.393939393939,4530.347319347319,4403.347319347319,4215.5337995337995,4100.580419580419,4057.6969696969695,4088.6503496503497
11800,Coffs Harbour,1,New South Wales,70970.0,71564.0,72303.0,73016.0,73739.0,74670.0,75753.0,76887.0,77810.0,78409.0,78781.0,79723.0,80478.0
12000,Coolamon,1,New South Wales,4237.0,4278.0,4328.0,4357.0,4366.0,4390.0,4423.0,4415.0,4413.0,4404.0,4403.0,4467.0,4553.0
12150,Coonamble,1,New South Wales,4205.626506024097,4191.265060240964,4164.843373493976,4130.6024096385545,4088.240963855422,4047.8192771084337,4023.8192771084337,3976.9397590361446,3924.0,3872.0,3834.120481927711,3819.9397590361446,3855.879518072289
12160,Cootamundra-Gundagai,1,New South Wales,11321.360655737704,11319.442622950819,11319.770491803278,11311.934426229509,11309.098360655738,11298.180327868853,11305.344262295082,11323.508196721312,11360.590163934427,11391.754098360656,11389.0,11415.0,11437.0
12350,Cowra,1,New South Wales,12510.342458541721,12535.127106268052,12517.350939504628,12561.626484258655,12610.521510707576,12665.278606122014,12702.480732132104,12731.094599516095,12737.282662705038,12754.139860165076,12764.834408478078,12718.97130823901,12623.529281317722
12380,Cumberland,1,New South Wales,203187.81132075473,207544.8679245283,212468.45283018867,216878.5283018868,221172.18867924527,225711.18867924527,231488.7358490566,235876.45283018867,240088.5283018868,240839.88679245283,237081.71698113208,237577.81132075473,245499.5849056604
12390,Dubbo,1,New South Wales,49077.56475792822,49393.721657222384,49754.23696026776,50318.374442456174,50843.36651754648,51400.647957053385,52489.846137787055,53576.206899294164,54358.06874109421,55009.462148324885,55526.69938695033,55889.81916525831,56551.79695463432
12700,Dungog,1,New South Wales,8556.0,8657.0,8791.0,8918.0,9008.0,9101.0,9154.0,9259.0,9329.0,9450.0,9532.0,9721.0,9767.0
12730,Edward River,1,New South Wales,8888.0,8913.0,8929.0,8962.0,9012.0,8991.0,8847.0,8728.0,8657.0,8547.0,8437.0,8462.0,8437.0
12750,Eurobodalla,1,New South Wales,37115.89623187011,37142.02216329127,37271.68134353091,37485.59747679539,37738.40563755767,37922.5235544927,38372.35680588805,38817.31429395848,39290.98813801203,39916.31816572011,40464.06313290756,40792.41006388044,40984.69744341798
12850,Fairfield,1,New South Wales,196478.18867924527,198089.1320754717,200079.54716981133,201768.4716981132,203469.81132075473,205654.81132075473,209108.2641509434,211393.54716981133,212826.4716981132,212149.11320754717,209067.28301886792,206813.18867924527,209725.4150943396
12870,Federation,1,New South Wales,12513.0,12510.0,12508.0,12499.0,12470.0,12445.0,12509.0,12559.0,12627.0,12726.0,12822.0,12871.0,12967.0
12900,Forbes,1,New South Wales,9455.516919211763,9502.013806380639,9581.183689850466,9669.937096335294,9722.254566984477,9788.08672643058,9722.682790845221,9661.80193399631,9587.229535407245,9499.832425597056,9382.871600572757,9355.09475825228,9340.988587886566
